,Strengths,Weaknesses,PER,WS_48,VORP,Bust
378,"Excellent wingspan (7’2.5”) for his size … Possesses the body control to get to and finish at the rim … Very capable of making an impact off of straight-line drives … Has an NBA-ready frame … Surprising lateral speed for a player with as much muscle mass as he shows … Defensive potential is his calling card … Already shows the signs of being a high-level defender … Can guard multiple positions on the court … Length could allow him to develop into a small-ball big in the future … Light on his feet on the perimeter … Disruptive defender, jumps passing lanes whenever he sees the opportunity … Was an interior presence defensively, especially as the weak side defender … Able to stay on the floor and block shots as a perimeter defender due to excellent reach … Possesses nice defensive instincts … Closes out well and under control on shooters … Flashed solid footwork understanding on the offensive end … Will make open or uncontested threes … Shot has a nice rotation and backspin on it, hits the rim softly … Sees and makes the extra pass … Monster on the offensive boards … Can keep possessions alive with rebounds and will convert second-chance opportunities into baskets …Very good cutter off the ball … Good at cutting back door. Looks for defender to turn head and then makes his baseline move to the lane … Ally oop threat, likely to make plenty of highlight plays on lob passes … His offensive numbers are misleading as he actually has very good potential as a shooter, if he can hone his ability in using deception to create looks …","No real defined role offensively yet … A little bit stiff in his movements and running the floor … Thick legs … Doesn’t always exhibit an ideal level of intensity … Needs to work on his ability to create shots … Shot mechanics need some fine tuning as he has a bit of a slow release and seems to telegraph his shot too often … His motion gets sped up if a defender is too close to him … Shoots with minimal arc and not much rotation … Only shot 52 percent from the free throw line … Is not a strong ball handler, dribbles high and away from body … Can be very loose with the ball, especially with his off hand … Does not create his own offense … Won’t be an instant facilitator at the next level … Has trouble recognizing the open player as a playmaker … His effort was very up-and-down during his stint at Indiana … While he has the tools to become a quality defender, was slow at times reacting on defense … Late-bloomer so his basketball IQ needs some catching up …  Post skills are extremely raw and in need of refinement … While he shows solid attributes and potential as a rebounder, remains extremely unproven having averaged 2.6 and 5.4 rebounds per game over his FR and SO seasons … Is recovering from a torn ACL suffered in late January, which could cloud his draft stock …",13.2,0.102,5.8,N
379,"Stretch 4 with a pretty stroke from the perimeter … Gets good lift with a high release point and a smooth follow through … Good athlete with solid leaping ability off two feet … Should have no trouble extending his range out to NBA three, and be a weapon at the next level … Very good pull up shooter from midrange with a clean, concise shooting form … Displays solid post footwork offensively … Has a nice righty jump hook in his repertoire … Crafty at using pump fakes to get defenders off balance … Attacks closeouts well using quick feet to get by defenders off the dribble … Today’s shift to bigs that can spread the floor and shoot adds intrigue to his game … Big 7′ wingspan helps him to get shots off and bolsters his ability on the boards … A solid passer who often facilitated the offense from the high post … Despite a thin frame, showed nice aggressiveness on the glass putting up 8.6 rpg … gets a lot of tip ins due to his great length … 36 minutes per game shows that he’s well conditioned, made easier in the Syracuse system … Hit a near identical (49/124) from three as a sophomore as he did as a freshman (49/121) roughly 40% … Improved FT shooting from FR to SO Years from 77% to 84% … Good vision and passing ability for a big … Positive a/to ratio at 2.1/1.7, solid for a forward … Shot blocking dipped from 1.8 to 1.4 from freshman year, but illustrates his length giving opponents problems … Could log some minutes at the 3 if a team decides to go big, provided his perimeter defense isn’t atrocious … May always struggle to put on weight and play physical …Good size for a forward (6’10”) … Runs the floor well … Fluid athlete who can attack the basket … Still scratching the surface of his potential … Can be molded into any type of forward … Will make plays above the rim … Consistent outside shooter … Has  a set shot with a high-release point … At his best in spot-up and off-the-catch situations … Has a very sound pump fake … Uses the pump fake on defenders closing out too hard to get into the lane … Shown glimpses of having an accurate floater/runner … Willing passer, moves the ball to the open player … Attacks the offensive glass … Uses his athleticism to get the ball at it’s apex … Quick second leap … Finishes well around the rim … Took advantages of mismatches when they presented them … Scored in the post over smaller defenders … Moves well without the ball … Possesses good defensive instincts … Forced turnovers and was a rim-protector in Syracuse’s 2-3 zone … Very adept as a weakside shot blocker … Plays effectively on the perimeter … Can move well laterally with most guards defensively … Disruptive hands … Constantly found ways to be a pest in passing lanes … ","Comes into the league with limited conventional defensive ability, after playing in Jim Boeheim’s 2-3 zone for the past two years … D is a big question mark … Frail body for a 4. Needs to add weight to battle inside for rebounds and defend … Added strength will allow him to play physical and get more trips to the line … Toughness and ability to hold position in the post remain question marks … Can be careless at times with his passing … lack of significant improvement a bit puzzling. For such a strong offensive talent, it would have been nice to see him take over a little more offensively … 13.2 ppg and offensive numbers and output eerily similar to freshman season begs the question if he has the desire to be a star or will be content as a role player at the next level … fairly one dimensional player as his outside shooting and length gives him a lot of intrigue but his lack of strength makes him a bit of a project … 13% body fat at 215 lbs is slightly concerning. He not only is too weak from a weight standpoint, he’s not nearly as cut as he needs to be, so conditioning and adding good weight will be imparitive …Can’t create his own offense … Struggles when asked to do more than attack in a straight line … Not confident as a ball handler … Will force passes into tight spaces … Is not much of a playmaker … Hesitant to shoot the ball at times … Not much of a one-on-one defender … Must get stronger in order to better bang in the paint with NBA athletes … Often gives one try or minimal effort … Gets pushed out of position on defensive rebounds … Playing in a 2-3 zone hid a lot of his deficiencies on defense … Wasn’t a consistent producer for Syracuse despite being their go-to guy … Far from a polished player will need to improve basics if he is going to find a role in the NBA …",9.1,0.084,-0.1,Y
381,"Bigman with a high basketball IQ and well rounded skill set  … Tremendous rebounder who understands how to box out and use his thick body very well to position himself for rebounds … High character guy with a lot of personality and determination … Became a dominant player in sophomore season … Very aggressive offensive player who muscles opponents for position and also has solid post foot work …  Showing a very good outside shooting stroke, and the ability to get good looks, hit a very impressive 38 of 75 (45%) three pointers as a sophomore … Developed a lot of consistency and confidence in his 3 point shot after hitting 29% as a freshman … Physique, while not chiseled has shown steady improvement … Huge wingspan (7’3) gives him an advantage on the boards/around the basket … A very good passer and decision maker … Averaged 3.1 assists per game, a very strong number for a big, showing his great feel and passing ability … Near 1:1 A/TO average is very unusual for a center … Has excellent, big soft hands which come in handy grabbing rebounds and not making turnovers … Would suit a team that likes to play a slower, half court set style of play … Very mature player who rarely loses his composure or gets rattled … Shows a strong understanding of the game and overcomes his lack of explosiveness and quickness well with smarts and skill … Aggressive in creating contact and getting to the FT line … Very solid from the line at 78% …","Not an explosive athlete … Lacks great speed in the open floor … Lack of foot speed makes it difficult for him to defend on the perimeter … Has worked on his body after struggling with obesity as an early teen and weighing well over 300 lbs throughout his high school career, but still has too much body fat which weighs him down … Not a rim protector, lacking the explosiveness to get off the floor to be a consistent shot blocker … Has very good length, but his combination of height and lack of athleticism make it challenging for him as a likely center for the NBA level … Physical attributes limit his upside …",6.8,-0.015,-0.7,Y
382,"Very light on his feet at 6’9” with great footwork; has very long strides, is a good transition player with solid feet on defense… Has the ability to allude defenders while moving towards the rim on the break … Has above average length and is quick to the ball on the glass … His agility at 6’9” allows him to get out on the break and run the floor well, and he also has the ability to push the ball up the court in transition as the ball handler … He is an excellent cutter and plays well without the ball in his hands, and while he is not overly explosive, he has the ability to finish above the rim in space … Kuzma is not the most advanced shot creator, but he excels at scoring on the move, particularly via straight line drives to the basket … He is a solid rebounder on both ends of the court, averaged 3 offensive boards per 40 minutes last season, often crashing the glass from the perimeter to pursue the ball … He also uses his length to be a factor around the rim and shows good instincts on the defensive glass and is quick to the ball … Even though he is not the most physically imposing player, he does a great job of consistently finding an offensive player to box out and has good timing on his jump … Kuzma has to refine his technique on defense but has good feet when locked in … He has the potential to be an effective pick and roll defender who can switch out on guards when necessary; has talent on the offensive end as both a scorer and a facilitator with potential as a stretch four man … He has excellent shot preparation and mechanics, soft hands, good touch around the basket, and solid vision … He is a better shooter than his percentages would indicate; only 29% in his career beyond the arc but has good footwork and a quick, fluid release … He can put the ball on the floor and attack the basket off the pick and pop … He can be a good isolation player, especially when his face up jumper is working for him … When the defense has to respect his jumper it opens up the rest of his offensive arsenal, where he uses jab steps effectively … He is willing to drive with either hand, and is also a good pick and roll player as the roll man … Kuzma is able to finish around the rim in a variety of ways with floaters and push shots due to his soft touch around the basket; his ambidexterity will be a big advantage at the next level … He needs to be under control more consistently but has talent as a passer, with the size to see over the top of defenders on the perimeter … He is also a good passer out of the post to weak side bigs or guards on the perimeter … Kuzma will fit well in today’s game as a perimeter oriented four man; still needs to work on his consistency but shows flashes of scoring and playmaking ability … He is not there yet defensively but has the potential to be an adequate multi-positional stopper … Jumpshot has good form and shows promise, his shooting is better than his numbers indicate and could be impacted to a degree by defenses collapsing on him … Fits the role of a new age stretch 4 …","Kuzma shows a great deal of talent and skill but still needs to put it all together and sustain his intensity and focus; projects as a stretch four man but is a streaky shooter as this stage … He can also improve his ball handling skills and post game, and can be too wild with the ball in his hands; he will force the issue too often and can get too sped up and be turnover prone … Despite promising mechanics, the results are not there; he is only a 29% career three point shooter and a 59% career free throw shooter. He also does not have a very reliable mid range game or off the dribble jumper … As a projected four man, he will need to be more dependable in this area … It would probably help him to cut some of the motion out of his shot, as he tends to dip the ball all the way to his waist before getting into his release … He is a capable playmaker off the dribble, but his handle is a bit loose … Right now he is limited to mostly just straight line drives and is not great at making multiple moves or changing direction to create for himself … He can improve his feel in the low post, as he does not always do a great job of reacting to how the defense is playing him and seems too often to have his mind made up before he makes his move … He can also improve his shot selection … The three-point shot is not his greatest strength at this stage, but he will occasionally launch deep, low percentage shots from the perimeter, and also drives into traffic out of control too frequently … Kuzma has good vision but does not always play with his head up, which mitigates this ability … He can be forced into turnovers because of this, and he needs to do a better job of making the simple play instead of trying to force the issue … Kuzma was an adequate finisher in college but it will be a big adjustment against NBA length and athleticism; relies more on fluidity than explosiveness and struggles to elevate in traffic … He does not have the requisite size to compensate for his average explosiveness, and he will have to rely on touch and craftiness … He is a capable finisher through contact but struggles more with long defenders, which he will see much more regularly in the NBA; not a great stand still leaper; has good length and mobility at 6’9” but is not as effective defensively as he probably should be … He plays too upright on the perimeter causing him to struggle staying in front of smaller players … He can improve his toughness and develop more of a killer instinct on that end … He can get bullied inside, needs to do a better job of stopping the offensive player’s first move and force him to change directions … He does not show consistent effort when closing out on the perimeter, often too upright and will allow players to put the ball on the floor with his strong hand without showing much resistance … He struggles to contain the ball and usually will not attempt to make a play at the rim when beaten off the dribble … He can also get lost too often when he is off the ball; needs to do a better job of seeing both his man and the ball simultaneously … He can be a bit soft inside, and should be a much better shot blocker with his length … Motivation level remains a question mark. If he has a coach getting after him and improves his focus, his potential is substantial …",13.9,0.057,2.9,N
383,"6’10” big man with an impressive 7’4” wingspan … Finishes well in the paint … Solid mobility and plays on balance … Good composure for a freshman. Mature … Can score with either hand … Has an above average right-handed jump hook for his age … Not afraid to move people around in the post … Always finds a body first before going up for a rebound … Solid fundamentals … Keeps the ball high and away from guards when possessing the ball … Well-built at close to 250 lbs … Solid base, legs like tree trunks … Very hard to move him off his spot when he’s planted … Plays within himself … Doesn’t try to do too many things that he isn’t comfortable doing … Has been a productive player in a limited role (15 minutes per game) … Length helps him finish contested shots … Seeks out contact on offense … Does a good job of using his length to defend … Plays defense inside with arms up and will remain flat-footed as opponent goes vertical … Has a nice looking shot that could potentially develop into a reliable outside weapon … Very coachable player …  Tough-minded kid … Has a good feel for the game … Plays with a high basketball IQ for such a young prospect … Should be able to log time at both center and power forward … Despite not being an big leaper, shows very good rebounding ability, using toughness and good box out tchniques …","Not much of an athlete, lacks great explosiveness and run/jump athleticism … Can sometimes get lost in the flow of games … Isn’t the most assertive of players at this point … Doesn’t appear to have the shoulders to support much more bulking up … Might have dropped too much weight in his transition from high school to college … Not great from the free throw line (currently shooting 62.3 % from the free throw line) … When matched against like-sized players he struggles to have an impact … Could lose out on rebounds to more athletic players at the next level … Overly aggressive as a defender at times … Is not ready to contribute to an NBA team at this stage in his development … Too predictable offensively. Must develop more post moves and variety … Despite his great length, lacks rim protecteion ability (less than one block per game) …",19.3,0.181,1.1,Y
384,"White has good size for a lead guard at 6’5” with a 6’8” wingspan and is comfortable playing either guard spot. His size allows him to see over the top of most defenders where he can utilize his passing ability and be a primary facilitator in an offense … White always plays with his head up in transition and is able to recognize passing lanes by seeing over the top of the defense with his size … He is willing passer that plays with good patience, and he does a good job of finding big men ducking in from the post area or kicking out to shooters off the drive or from the perimeter … His size, combined with good elevation also allows him to pull up in the mid range area over longer defenders … Although he is not a great athlete, his combination of size and length allows him to finish above the rim in space with ease … As a defender he is disruptive with his length, does a good job of getting in passing lanes to force turnovers, and contest shots … White’s greatest strength is most likely his versatility as a scorer … In his lone season for Colorado he averaged 22.3 points per 40 minutes on 57% shooting from two point range and 40% shooting from three, showing the ability to fill it up from all three levels … He has excellent instincts and plays with great pace and skill … White excels at scoring out of the pick and roll, where he can pull up off the dribble or finish with craftiness at the rim … He has a particularly advanced floater game, which he can use off of one foot or two feet with soft touch … White can finish with either hand and has excellent body control when going to the rim … He is also a quite capable spot up shooter, which allows him to be effective off the ball, and he can fire away coming off of screens … He does an exemplary job of getting his feet under him, having good balance, and exhibiting a quick release … White also gets to the free throw line frequently, where he converts at an excellent 81% … He does a great job of reading the defense off of the pick and roll, where he can turn the corner if the defense goes over the screen or make the defense pay with his jumper for going under … He gets great elevation on his mid range pull up jumper with crisp footwork before the shot … He also takes advantage of switches in the pick and roll by frequently using hesitation dribbles and changing direction to keep the bigger defender off balance … White attacks closeouts very well with jab steps, shot fakes, and step backs to separate into his pull up jumper … Another strong selling point of his repertoire is his advanced feel for the game on both ends of the court … He consistently stays poised under pressure and has the requisite vision to initiate the offense … He also has solid defensive instincts, anticipating plays well and forcing ball handlers to make counter moves … Out of the pick and roll, he uses the entire width of the floor and has excellent timing with his passes … He also can hit both the roll man and shooters on the perimeter from various passing angles … What really stands out in this area is the fact that he keeps his dribble alive and stays clam when the defense hedges hard on the ball screen, allowing him to continue the offensive flow … He also has good awareness defensively when locked in and understands where to be on the court at all times … His best attribute defensively is his ability to slide his feet and stay in front of a ball handler without using his hands … He does a textbook job of preventing straight line drives and forcing his man to change directions … Many scouts also believe that because White is a late bloomer, there is still plenty of room for him to continue developing … He is a Division-2 transfer from University of Colorado – Colorado Springs, and his frame may not be entirely filled out yet …","White may still have some untapped athletic potential, but at this stage he does not have great burst or shiftiness, which may limit his ability to get to the rim or stay in front of quicker guards at the NBA level … He can be too upright at times both when turning the corner on offense and when guarding his man, limiting his explosiveness … He also may struggle to get all the way to the rim and finish over the top of NBA length … He has only an average first step from a triple threat position, making it challenging for him to turn the corner easily … His lack of burst also does not allow him to play slow to fast at a high level, as he is unable to change gears with much force … Even against big men in the pick and roll, he is not always able to turn the corner and is often forced to settle for off balance jumpers … Against teams above .500, he shot 50% from two-point range compared to over 60% against teams under .500, leaving numerous questions about if he can create offense against better competition … Despite solid athleticism combine numbers, (36.5 max vert) he is generally a below the rim player in traffic, and he will have to rely on floaters mostly, but he has shown great ability in this area … White also has an easygoing demeanor on the court and can get a bit casual at times … He needs to be a bit more vocal, especially if he is going to play a lead guard role in the NBA … He also needs to cut down on the careless turnovers and play with more consistent urgency on defense … He has a tendency to telegraph simple passes, leading to several avoidable turnovers … He also will settle for too many difficult, contested pull-ups on offense at times … On defense he will take plays off; instead of getting low in his stance and being committed to stopping his man by sliding his feet he will reach a bit too often … His defensive versatility in the NBA is also a big question mark … On the one hand, he may not have the frame to guard bigger two guards and wings, but he also may not be quick enough to guard explosive NBA point guards.",15.3,0.119,7.9,N
385,"Strengths:  From an offensive standpoint, Hart improved on just about everything as a senior … He scored an impressive 18.7 points per game on a very efficient .51% from the field … He also raised his long range percentage to 40% on a healthy 5.1 attempts per game (up from 3.9 as a junior) … Mature and well rounded game … Scrappy competitor … His long range shot will be a selling point in a league that value’s spacing … He’ll make most of his NBA living spotting up … As a senior, he also got to the charity stripe a career high 4.7 times per game, and knocked them down at a respectable 75% clip … While his NBA calling card will likely be as a spacer on offense, his increased aptitude as a slasher and good finishing power at the rim will help … He’s a willing passer with a high court IQ, which helped him tally an impressive 2.9 assists per game as a senior … Hart is a very good rebounder for a guard (6.4 per game) . At 6’4’’ and  (6’8.5’’ wingspan) barefoot he’ll measure up pretty well for an NBA shooting guard, he’s a well built 205-215 pounds (204 at last year’s combine) and will be able to keep up with more guards than one’s he’s outmatched against … Hart is a competitor, and was an elite defensive guard in college … Averaged 1.6 steals per game in route to a share of the Big East’s Defensive Player of the Year award … Josh also tested pretty well as an athlete last year at the combine … A 38.5’’ max vertical was one of his more impressive stats, but he doesn’t quite fit the bill as an elite overall athlete …  He fits the prototype of a 3 and D role player in the NBA, who also increased his effectiveness as a distributor at Villanova. It should also be noted that he’s incredibly coachable and mature … Josh Hart should have little trouble transitioning to the NBA from a work ethic and maturity standpoint …","While Hart is above average in terms of athletic ability, and certainly has his strengths, he’s not overly explosive … May struggle at the next level to create open looks as he lacks speed and size … Not the quickest leaper, this may catch up to him a little more against stronger competition … Lacks great size for the wing … At 22 and as a player who’s improved tremendously, his lack of perceived upside is a major factor that is preventing him from being a high pick … Defensive efficiency numbers are just average. Lack of great lateral speed limits his ability to stand out in this area … Jack of all trades, master of none type. He has rounded out his weak spots fairly well, but still doesn’t have any skill that will stand out at the next level … Hart has improved as an overall shooter, but he’s still not great operating in the mid range … As a two guard, he’s also not a high level ball handler at this point in his development … While solid, he’s not going to provide as much versatility as some in a league with increasingly interchangeable backcourts …",12.8,0.099,5.2,N
386,"Jackson’s ability to score the basketball is one of his biggest strengths … He shot 40% from three point range this season, was a reliable mid-range shooter and was an above average finisher at the rim … One glance at the McDonald’s All-American game dunk contest along with his combine performance will tell you that Jackson is a gifted athlete with a lot of leaping ability … Has a quick first step to burst by defenders and has some shifty fakes and handles to set up drives … His quick feet and explosiveness really helps his projections at the next level even though he doesn’t necessarily have an exact position …  He’s a physically gifted prospect with great size and length for the PG position in the NBA, and even has the size of a slightly undersized 2 guard …  A strong guard, very good legs with good body control that allows him to absorb contact and still get to his spots on the floor … Extremely high energy player with a great motor that helps him overcome some of his defensive lapses as he recovers well when beaten …","No real defined position at this point in his career … Came to Duke as a PG but is really just more of a scoring guard at this point, and doesn’t have a great handle of the PG position … His 6’3 frame puts him into that dreaded category that no guard wants to be lumped into as he doesn’t have the size to defend NBA SG’s but doesn’t create for others in the way that you would want your PG to do … 1.7 to 1.4 a/to ratio is not what you want from a PG … His 2.7 assists per 40, which would rank him dead last among his peers in this draft, isn’t exactly ideal when it comes to your lead guard … That’s not to say he doesn’t have the ability to do so but when your mind is on putting the ball in the bucket, creating for others goes out the window … Luckily for him, he’s extremely efficient when he gives in to his scorer’s mentality …  By no means a poor defender but is limited on that side of the ball … Slides his feet well enough but doesn’t cut off driving lanes well and is subject to getting broken down off the dribble against quicker players …",10.4,0.031,-1.9,Y
387,"Reed is the true definition of a swingman … He has the size (6’6” and 206 lbs) and length (7’0 wingspan) to play either the two or the three spots in the NBA … Uses his length effectively in his game … Very versatile player … Jack of all trades type … Will fit right into the league as a 3-and-D type of player … Consistent shooter from outside … Comfortable taking shots from the NBA range already … Is also a good athlete … Both laterally and vertically … Gives his all on defensive end … Takes matchups head on … Can guard multiple positions … Will do the little things as well … All about hustle and effort …    Weaknesses: Wasn’t always aggressive in attacking … Can’t create his own offense yet … Too reliant on other players to make himself useful offensively … Is not an elite-level athlete … Limbers too much for such a long player … Besides shooting doesn’t really bring much to the floor … Will not be a capable playmaker for others … Though he was a willing defender he had his struggles against some of the top ACC players …    Outlook: Measured 6’5 (in shoes) 196 lbs, with a 6’10.5 wingspan at the 2012 LeBron James Skills Academy.If I were Reed I would do everything in my power to make Jared Dudley my vet and then listen to every and anything he wants to share about staying in the NBA. The path to a 10-plus year career in the league is laid out in front of him and if he puts the work in then he’ll be a rotational piece for years to come.", Wasn’t always aggressive in attacking … Can’t create his own offense yet … Too reliant on other players to make himself useful offensively … Is not an elite-level athlete … Limbers too much for such a long player … Besides shooting doesn’t really bring much to the floor … Will not be a capable playmaker for others … Though he was a willing defender he had his struggles against some of the top ACC players …    ,9.1,0.054,-0.3,Y
389,"One of the most prolific players in all of college basketball, despite his size, brings many NBA translatable skills to the table … First of all, he’s immensely improved as a long range shooter in four seasons with the Jayhawks … He shot .471% his senior season, on a healthy 4.8 attempts per game … Frank can pull up off the dribble, as well as spot up from beyond the arc, and expect to hit a high percentage … His release is high and quick, which is beneficial when looking to the NBA … Mason is also very adept in using screens, and operating in the pick and roll … This will directly aid in his transition as well … While not a classic, pass first, point guard, Frank is excellent at running a team, and has a respectable 2+ assist to TO ratio, on 5.2 assists per game .. Mason’s drive and kick game is one of his strongest areas of being a set up man … His ability as a scorer is well rounded … He’s averaged 20.9 points per game, and he can get them at the rim, in the mid range, in transition, and beyond the arc … Mason is a bulldog and can use his high level athletic ability to get tough buckets, and get to the line, where he shoots .784% … Speaking of his athletic ability, he has elite quickness, and end to end speed, both with and without the ball in his hands … KU trainer Andrea Hudy has regarded him as the strongest player on the team, and this greatly aids him on the court … His body control and leaping ability are also very impressive … Despite being under 6’, Frank has converted alley-oop dunks and countless plays that require high levels of athleticism … Mason is a tough defender, who is great at getting under larger guards … His lateral quickness makes him tough to get past, and his effort is always there … It’d be easy for a player with his offensive burden to dial it back on D, but Frank’s toughness and leadership qualities shine through where he gives maximum effort at all times …","Undersized at the point guard position, Frank Mason III is just 5’11’’ tall, and looks to have a wingspan just slightly longer than his height … He can do plenty of things to make up for this, but this will directly affect how he finishes around the rim in the NBA … Mason converted at about a 56% clip (hoop-math.com) at the NCAA level, but despite his body control, he’ll find it more difficult to convert at the next level … Frank can also get caught in the air without a plan … He’s much better than he was when he first hit the NCAA scene, but he still can be a tad reckless at times … He will also be easy to shoot over in the NBA … While pesky, and tough, his defensive outlook will still be affected by his stature … There’s little doubt Frank will continue to improve as a player, but at nearly 23 years old, you wonder how much upside he has left.",12.8,0.035,-0.3,Y
390,"There is plenty to like about Raab as a NBA prospect starting with his physical profile … He is a mobile big man with good size at 6’10” with a 7’2” wingspan and 9’1” standing reach, and he is light on his feet … Out of the pick and roll, he shows great agility as a roll man, and he can catch and finish lob passes in space … Rabb also runs the floor pretty well despite the limited opportunities he got playing in California’s slow tempo system … He is more mobile than most big men that guard him, which was displayed frequently by beating other bigs down the floor in transition … Rabb’s most established skill that will be a great asset for a team in the NBA is his rebounding ability … Posted 19 double-digit rebounding games this past season for Cal and averaged 12.8 rebounds per 40 minutes, showing good motor on the offensive glass as well (3.7 offensive rebounds per 40) … He also demonstrated one of the best pairs of hands in all of college basketball the last two years, which is shown by his ability to chase down rebounds out of his area … He has a large rebounding radius, great timing and instincts on his jump to corral missed shots, and he does an excellent job of finding a body when a shot goes up … He is also a great rebounder in traffic, as he does not shy away from contact down low and is aggressive pursuing the ball off the rim … Rabb has a blossoming post game both facing up and with his back to the basket … He also has improved his face up jump shot and is particularly difficult to guard when the defense has to respect his jumper … He shows flashes of excellent footwork and can finish at the rim from awkward angles with either hand . Rabb is also a big target in the post with his long arms and great hands. He is a bit streaky but definitely capable in the mid-range game, as he utilizes both jab steps and step backs to create separation into his shot. He is crafty in the post with his footwork and is particularly light on his feet when under duress down low … Also has an underrated basketball IQ, and has good feel for recognizing double teams and knowing when to pass out of them … He also has a good understanding of defensive positioning and handled the often-difficult moments at Cal quite maturely … He has good recognition off the ball on defense and does a good job of not fouling when coming over to help from the weak side … His above average ability to close out and defend bigs on the perimeter will help him in today’s NBA …With a slight frame, for now, Rabb is very good at gaining position against defenders in the low post … At 6’10 once Rabb got near the hoop he was virtually automatic against high school competition at the rim … He has developed a consistent baby left hook shot that is his go-to move … Rabb is also very explosive laterally … Even when caught in tight spaces or too deep in the paint he possesses the athleticism to still get a good shot attempt or dunk attempt off … Doesn’t sit idle often or slough off when posting up … Mostly catches the ball and explodes right into a move … Very active on the break for a big man … Whether off a block or a rebound he will run up and down the floor until he’s blue in the face … Finishes well as a trailer and often created second chance opportunities for himself or others off a miss … Very effective rim protector … Quick to help, but doesn’t leave his feet early … Let’s the offensive player come to him before trying for a block … Uses his feet well to reposition himself for blocks … His large wingspan (7’1"") is also a big help on defense … Can pass well out of double teams and is a good overall passer … Very aware of floor spacing and where teammates and even defenders are positioned …","Rabb is more of an old school post player and does not have ideal perimeter skills that NBA teams look for in a modern NBA big man … He does not space the floor with great consistency and shoots a flat ball at times … He will need to become more of a threat off the pick and pop to be a truly reliable offensive weapon in the league, and he must continue to improve as a free throw shooter (66%) … He also does not have the ball skills to create for himself on the perimeter, and most of his scoring will come in the post … He is much better as a straight-line driver, but when the defense takes this away, he is not fluid or skilled enough to utilize a counter move and create offense for himself effectively … He also struggles to attack closeouts off the pick and pop, which really limits him offensively … Lacks the strength to finish against NBA caliber big men with better length and athleticism … His skillset projects towards him being more of a center in the NBA, but he may not have the size and strength to be effective there … He can be knocked out of position pretty easily and does not have good body control against contact … This sort of tweener identity limits his defensive potential as well, as he is a tad small for the five and not quite rangy enough for the four … He is limited as a rim protector with only 1.3 blocks per 40 minutes, and could be a liability in the pick and roll when needed to switch out against smaller players …Besides his baby hook, doesn’t have an array of post moves in his repertoire … Has mostly relied on being taller and more athletic than most of his competition … Must get stronger and fill out his frame as much as possible … Can easily be knocked off his spot in the paint … Besides rim protection he’s not really a great overall defender … Not quick laterally and often doesn’t seem to be moving fluidly when defending on the ball … Strictly a post player at this point, Rabb hasn’t adapted to the new ""position less basketball"" movement … If he’s not able to score in the post he will drift out to the perimeter, which isn’t the strongest part of his game at the moment … Really left-hand dominant, needs to put more work in on his off hand … Needs to continue to improve at the free throw line as well …",16.3,0.125,0.1,Y
